ALB212	24
AV-21	26
Ale14	31
Ale20	25
Ale22	31
Ale32	29
Armenian222	30
Ayodo_430C	25
Ayodo_502C	24
Ayodo_81S	54
B11	34
B17	23
Bishkek28439	25
Bishkek28440	32
Bu16	37
Bu5	32
BulgarianB4	56
BulgarianC1	50
CHI-007	33
CHI-034	27
DNK05	26
DNK07	25
DNK11	23
Dus16	25
Dus22	33
Esk29	30
Est375	25
Est400	23
HG00096	29
HG00097	28
HG00099	31
HG00100	26
HG00101	29
HG00102	27
HG00103	28
HG00105	24
HG00106	30
HG00107	28
HG00108	28
HG00109	29
HG00110	27
HG00111	26
HG00112	28
HG00113	25
HG00114	28
HG00115	24
HG00116	38
HG00117	33
HG00118	30
HG00119	29
HG00120	33
HG00121	27
HG00122	29
HG00123	26
HG00125	24
HG00126	54
HG00127	29
HG00128	29
HG00129	25
HG00130	25
HG00131	29
HG00132	27
HG00133	42
HG00136	28
HG00137	27
HG00138	29
HG00139	30
HG00140	28
HG00141	27
HG00142	27
HG00143	26
HG00145	25
HG00146	36
HG00148	26
HG00149	27
HG00150	33
HG00151	29
HG00154	28
HG00155	25
HG00157	25
HG00158	30
HG00159	28
HG00160	27
HG00171	28
HG00173	25
HG00174	48
HG00176	28
HG00177	26
HG00178	27
HG00179	25
HG00180	28
HG00181	28
HG00182	29
HG00183	27
HG00185	29
HG00186	27
HG00187	28
HG00188	26
HG00189	24
HG00190	22
HG00231	27
HG00232	47
HG00233	34
HG00234	31
HG00235	31
HG00236	31
HG00237	27
HG00238	24
HG00239	28
HG00240	25
HG00242	33
HG00243	34
HG00244	30
HG00245	35
HG00246	27
HG00250	26
HG00251	33
HG00252	28
HG00253	30
HG00254	28
HG00255	28
HG00256	28
HG00257	29
HG00258	31
HG00259	26
HG00260	25
HG00261	26
HG00262	26
HG00263	25
HG00264	28
HG00265	30
HG00266	27
HG00267	28
HG00268	26
HG00269	25
HG00271	28
HG00272	38
HG00273	29
HG00274	27
HG00275	27
HG00276	24
HG00277	29
HG00278	31
HG00280	31
HG00281	26
HG00282	27
HG00284	28
HG00285	29
HG00288	25
HG00290	37
HG00304	28
HG00306	27
HG00308	25
HG00309	29
HG00310	27
HG00311	27
HG00313	29
HG00315	26
HG00318	25
HG00319	28
HG00320	32
HG00321	3
HG00323	25
HG00324	27
HG00325	25
HG00326	36
HG00327	28
HG00328	25
HG00329	30
HG00330	27
HG00331	28
HG00332	29
HG00334	27
HG00335	26
HG00336	31
HG00337	26
HG00338	29
HG00339	33
HG00341	27
HG00342	27
HG00343	26
HG00344	28
HG00345	27
HG00346	25
HG00349	30
HG00350	39
HG00351	25
HG00353	27
HG00355	39
HG00356	27
HG00357	28
HG00358	30
HG00360	29
HG00361	27
HG00362	28
HG00364	27
HG00365	27
HG00366	24
HG00367	25
HG00368	26
HG00369	38
HG00371	30
HG00372	27
HG00373	27
HG00375	29
HG00376	28
HG00378	27
HG00379	29
HG00380	28
HG00381	28
HG00382	26
HG00383	28
HG00384	28
HG00403	27
HG00404	25
HG00405	27
HG00406	27
HG00407	29
HG00408	28
HG00409	24
HG00410	27
HG00418	27
HG00419	28
HG00420	27
HG00421	29
HG00422	28
HG00423	28
HG00427	29
HG00428	26
HG00429	28
HG00436	25
HG00437	27
HG00438	28
HG00442	29
HG00443	30
HG00444	28
HG00445	30
HG00446	28
HG00447	27
HG00448	29
HG00449	26
HG00450	28
HG00451	28
HG00452	26
HG00453	30
HG00457	28
HG00458	28
HG00459	27
HG00463	28
HG00464	28
HG00465	28
HG00472	25
HG00473	30
HG00474	28
HG00475	28
HG00476	25
HG00477	30
HG00478	27
HG00479	24
HG00480	27
HG00500	29
HG00501	25
HG00502	27
HG00512	29
HG00513	53
HG00514	28
HG00524	27
HG00525	25
HG00526	28
HG00530	28
HG00531	28
HG00532	28
HG00533	28
HG00534	28
HG00535	27
HG00536	25
HG00537	25
HG00538	28
HG00542	26
HG00543	32
HG00544	27
HG00551	37
HG00552	29
HG00553	29
HG00554	28
HG00555	25
HG00556	24
HG00557	27
HG00558	27
HG00559	27
HG00560	26
HG00561	29
HG00565	25
HG00566	38
HG00567	26
HG00577	25
HG00578	27
HG00579	27
HG00580	29
HG00581	26
HG00582	26
HG00583	27
HG00584	33
HG00585	25
HG00589	28
HG00590	27
HG00591	28
HG00592	28
HG00593	28
HG00594	29
HG00595	25
HG00596	36
HG00597	27
HG00598	28
