sample_name,library,population
HG00321,SHORT,FIN
HG00323,SHORT,FIN
HG00324,SHORT,FIN
HG00325,SHORT,FIN
HG00326,SHORT,FIN
HG00327,SHORT,FIN
HG00328,SHORT,FIN
HG00329,SHORT,FIN
HG00330,SHORT,FIN
HG00331,SHORT,FIN
HG00332,SHORT,FIN
HG00334,SHORT,FIN
HG00335,SHORT,FIN
HG00336,SHORT,FIN
HG00337,SHORT,FIN
HG00338,SHORT,FIN
HG00339,SHORT,FIN
HG00341,SHORT,FIN
HG00342,SHORT,FIN
HG00343,SHORT,FIN
HG00344,SHORT,FIN
HG00345,SHORT,FIN
HG00346,SHORT,FIN
HG00349,SHORT,FIN
HG00350,SHORT,FIN
HG00351,SHORT,FIN
HG00353,SHORT,FIN
HG00355,SHORT,FIN
HG00356,SHORT,FIN
HG00357,SHORT,FIN
HG00358,SHORT,FIN
HG00360,SHORT,FIN
HG00361,SHORT,FIN
HG00362,SHORT,FIN
HG00364,SHORT,FIN
HG00365,SHORT,FIN
HG00366,SHORT,FIN
HG00367,SHORT,FIN
HG00368,SHORT,FIN
HG00369,SHORT,FIN
HG00371,SHORT,FIN
HG00372,SHORT,FIN
HG00373,SHORT,FIN
HG00375,SHORT,FIN
HG00376,SHORT,FIN
HG00378,SHORT,FIN
HG00379,SHORT,FIN
HG00380,SHORT,FIN
HG00381,SHORT,FIN
HG00382,SHORT,FIN
HG00383,SHORT,FIN
HG00384,SHORT,FIN
HG02662,SHORT,PJL
HG01200,SHORT,PUR
