sample_name,library,population
HG01168,SHORT,PUR
HG01169,SHORT,PUR
HG01170,SHORT,PUR
HG01171,SHORT,PUR
HG01172,SHORT,PUR
HG01173,SHORT,PUR
HG01174,SHORT,PUR
HG01175,SHORT,PUR
HG01176,SHORT,PUR
HG01177,SHORT,PUR
HG01178,SHORT,PUR
HG01182,SHORT,PUR
HG01183,SHORT,PUR
HG01184,SHORT,PUR
HG01187,SHORT,PUR
HG01188,SHORT,PUR
HG01189,SHORT,PUR
HG01190,SHORT,PUR
HG01191,SHORT,PUR
HG01192,SHORT,PUR
HG01197,SHORT,PUR
HG01198,SHORT,PUR
HG01199,SHORT,PUR
HG01204,SHORT,PUR
HG01205,SHORT,PUR
HG01206,SHORT,PUR
HG01241,SHORT,PUR
HG01242,SHORT,PUR
HG01243,SHORT,PUR
HG01247,SHORT,PUR
HG01248,SHORT,PUR
HG01249,SHORT,PUR
HG01286,SHORT,PUR
HG01302,SHORT,PUR
HG01303,SHORT,PUR
HG01305,SHORT,PUR
HG01308,SHORT,PUR
HG01311,SHORT,PUR
HG01312,SHORT,PUR
HG01323,SHORT,PUR
HG01325,SHORT,PUR
HG01326,SHORT,PUR
HG01392,SHORT,PUR
HG01393,SHORT,PUR
HG01395,SHORT,PUR
HG01396,SHORT,PUR
HG01398,SHORT,PUR
HG01402,SHORT,PUR
HG01403,SHORT,PUR
HG01405,SHORT,PUR
HG01412,SHORT,PUR
HG01413,SHORT,PUR
HG01414,SHORT,PUR
