sample_name,library,population
HG01112,SHORT,CLM
HG01113,SHORT,CLM
HG01114,SHORT,CLM
HG01121,SHORT,CLM
HG01122,SHORT,CLM
HG01124,SHORT,CLM
HG01125,SHORT,CLM
HG01126,SHORT,CLM
HG01130,SHORT,CLM
HG01131,SHORT,CLM
HG01133,SHORT,CLM
HG01134,SHORT,CLM
HG01135,SHORT,CLM
HG01136,SHORT,CLM
HG01137,SHORT,CLM
HG01138,SHORT,CLM
HG01139,SHORT,CLM
HG01140,SHORT,CLM
HG01141,SHORT,CLM
HG01142,SHORT,CLM
HG01148,SHORT,CLM
HG01149,SHORT,CLM
HG01150,SHORT,CLM
HG01250,SHORT,CLM
HG01251,SHORT,CLM
HG01252,SHORT,CLM
HG01253,SHORT,CLM
HG01254,SHORT,CLM
HG01255,SHORT,CLM
HG01256,SHORT,CLM
HG01257,SHORT,CLM
HG01258,SHORT,CLM
HG01259,SHORT,CLM
HG01260,SHORT,CLM
HG01261,SHORT,CLM
HG01269,SHORT,CLM
HG01271,SHORT,CLM
HG01272,SHORT,CLM
HG01273,SHORT,CLM
HG01274,SHORT,CLM
HG01275,SHORT,CLM
HG01276,SHORT,CLM
HG01277,SHORT,CLM
HG01280,SHORT,CLM
HG01281,SHORT,CLM
HG01284,SHORT,CLM
HG01341,SHORT,CLM
HG01342,SHORT,CLM
HG01343,SHORT,CLM
HG01344,SHORT,CLM
HG01345,SHORT,CLM
HG01346,SHORT,CLM
HG01348,SHORT,CLM
HG01349,SHORT,CLM
HG01350,SHORT,CLM
HG01351,SHORT,CLM
HG01352,SHORT,CLM
HG01353,SHORT,CLM
HG01354,SHORT,CLM
HG01355,SHORT,CLM
HG01356,SHORT,CLM
HG01357,SHORT,CLM
HG01359,SHORT,CLM
HG01360,SHORT,CLM
HG01361,SHORT,CLM
HG01362,SHORT,CLM
HG01363,SHORT,CLM
HG01365,SHORT,CLM
HG01366,SHORT,CLM
HG01367,SHORT,CLM
HG01369,SHORT,CLM
HG01372,SHORT,CLM
HG01374,SHORT,CLM
HG01375,SHORT,CLM
HG01376,SHORT,CLM
HG01377,SHORT,CLM
HG01378,SHORT,CLM
HG01379,SHORT,CLM
HG01383,SHORT,CLM
HG01384,SHORT,CLM
HG01385,SHORT,CLM
HG01389,SHORT,CLM
HG01390,SHORT,CLM
HG01391,SHORT,CLM
HG01431,SHORT,CLM
HG01432,SHORT,CLM
HG01433,SHORT,CLM
HG01435,SHORT,CLM
HG01437,SHORT,CLM
HG01438,SHORT,CLM
HG01439,SHORT,CLM
HG01440,SHORT,CLM
HG01441,SHORT,CLM
HG01443,SHORT,CLM
HG01444,SHORT,CLM
HG01447,SHORT,CLM
HG01455,SHORT,CLM
HG01456,SHORT,CLM
HG01457,SHORT,CLM
HG01459,SHORT,CLM
HG01461,SHORT,CLM
HG01462,SHORT,CLM
HG01463,SHORT,CLM
HG01464,SHORT,CLM
HG01465,SHORT,CLM
HG01466,SHORT,CLM
HG01468,SHORT,CLM
HG01474,SHORT,CLM
HG01479,SHORT,CLM
HG01485,SHORT,CLM
HG01486,SHORT,CLM
HG01488,SHORT,CLM
HG01489,SHORT,CLM
HG01490,SHORT,CLM
HG01491,SHORT,CLM
HG01492,SHORT,CLM
HG01493,SHORT,CLM
HG01494,SHORT,CLM
HG01495,SHORT,CLM
HG01496,SHORT,CLM
HG01497,SHORT,CLM
HG01498,SHORT,CLM
HG01499,SHORT,CLM
HG01550,SHORT,CLM
HG01551,SHORT,CLM
HG01552,SHORT,CLM
HG01556,SHORT,CLM
HG00551,SHORT,PUR
HG00552,SHORT,PUR
HG00553,SHORT,PUR
HG00554,SHORT,PUR
HG00555,SHORT,PUR
HG00637,SHORT,PUR
HG00638,SHORT,PUR
HG00639,SHORT,PUR
HG00640,SHORT,PUR
HG00641,SHORT,PUR
HG00642,SHORT,PUR
HG00731,SHORT,PUR
HG00732,SHORT,PUR
HG00733,SHORT,PUR
HG00734,SHORT,PUR
HG00735,SHORT,PUR
HG00736,SHORT,PUR
HG00737,SHORT,PUR
HG00738,SHORT,PUR
HG00739,SHORT,PUR
HG00740,SHORT,PUR
HG00741,SHORT,PUR
HG00742,SHORT,PUR
HG00743,SHORT,PUR
HG01047,SHORT,PUR
HG01048,SHORT,PUR
HG01049,SHORT,PUR
HG01050,SHORT,PUR
HG01051,SHORT,PUR
HG01052,SHORT,PUR
HG01053,SHORT,PUR
HG01054,SHORT,PUR
HG01055,SHORT,PUR
HG01056,SHORT,PUR
HG01058,SHORT,PUR
HG01060,SHORT,PUR
HG01061,SHORT,PUR
HG01062,SHORT,PUR
HG01063,SHORT,PUR
HG01064,SHORT,PUR
HG01066,SHORT,PUR
HG01067,SHORT,PUR
HG01068,SHORT,PUR
HG01069,SHORT,PUR
HG01070,SHORT,PUR
HG01071,SHORT,PUR
HG01072,SHORT,PUR
HG01073,SHORT,PUR
HG01074,SHORT,PUR
HG01075,SHORT,PUR
HG01077,SHORT,PUR
HG01079,SHORT,PUR
HG01080,SHORT,PUR
HG01082,SHORT,PUR
HG01083,SHORT,PUR
HG01084,SHORT,PUR
HG01085,SHORT,PUR
HG01086,SHORT,PUR
HG01087,SHORT,PUR
HG01088,SHORT,PUR
HG01089,SHORT,PUR
HG01092,SHORT,PUR
HG01094,SHORT,PUR
HG01095,SHORT,PUR
HG01096,SHORT,PUR
HG01097,SHORT,PUR
HG01098,SHORT,PUR
HG01099,SHORT,PUR
HG01100,SHORT,PUR
HG01101,SHORT,PUR
HG01102,SHORT,PUR
HG01103,SHORT,PUR
HG01104,SHORT,PUR
HG01105,SHORT,PUR
HG01106,SHORT,PUR
HG01107,SHORT,PUR
HG01108,SHORT,PUR
HG01109,SHORT,PUR
HG01110,SHORT,PUR
HG01111,SHORT,PUR
HG01161,SHORT,PUR
HG01162,SHORT,PUR
HG01164,SHORT,PUR
HG01167,SHORT,PUR
