sample_name,library,population
HG00759,SHORT,CDX
HG00766,SHORT,CDX
HG00844,SHORT,CDX
HG00851,SHORT,CDX
HG00864,SHORT,CDX
HG00867,SHORT,CDX
HG00879,SHORT,CDX
HG00881,SHORT,CDX
HG00956,SHORT,CDX
HG00978,SHORT,CDX
HG00982,SHORT,CDX
HG01028,SHORT,CDX
HG01029,SHORT,CDX
HG01031,SHORT,CDX
HG01046,SHORT,CDX
HG01794,SHORT,CDX
HG01795,SHORT,CDX
HG01796,SHORT,CDX
HG01797,SHORT,CDX
HG01798,SHORT,CDX
HG01799,SHORT,CDX
HG01800,SHORT,CDX
HG01801,SHORT,CDX
HG01802,SHORT,CDX
HG01804,SHORT,CDX
HG01805,SHORT,CDX
HG01806,SHORT,CDX
HG01807,SHORT,CDX
HG01808,SHORT,CDX
HG01809,SHORT,CDX
HG01810,SHORT,CDX
HG01811,SHORT,CDX
HG01812,SHORT,CDX
HG01813,SHORT,CDX
HG01815,SHORT,CDX
HG01816,SHORT,CDX
HG01817,SHORT,CDX
HG02151,SHORT,CDX
HG02152,SHORT,CDX
HG02153,SHORT,CDX
HG02154,SHORT,CDX
HG02155,SHORT,CDX
HG02156,SHORT,CDX
HG02164,SHORT,CDX
HG02165,SHORT,CDX
HG02166,SHORT,CDX
HG02178,SHORT,CDX
HG02179,SHORT,CDX
HG02180,SHORT,CDX
HG02181,SHORT,CDX
HG02182,SHORT,CDX
HG02184,SHORT,CDX
HG02185,SHORT,CDX
HG02186,SHORT,CDX
HG02187,SHORT,CDX
HG02188,SHORT,CDX
HG02190,SHORT,CDX
HG02250,SHORT,CDX
HG02351,SHORT,CDX
HG02353,SHORT,CDX
HG02355,SHORT,CDX
HG02356,SHORT,CDX
HG02360,SHORT,CDX
HG02364,SHORT,CDX
HG02367,SHORT,CDX
HG02371,SHORT,CDX
HG02373,SHORT,CDX
HG02374,SHORT,CDX
HG02375,SHORT,CDX
HG02379,SHORT,CDX
HG02380,SHORT,CDX
HG02382,SHORT,CDX
HG02383,SHORT,CDX
HG02384,SHORT,CDX
HG02385,SHORT,CDX
HG02386,SHORT,CDX
HG02389,SHORT,CDX
HG02390,SHORT,CDX
HG02391,SHORT,CDX
HG02392,SHORT,CDX
HG02394,SHORT,CDX
HG02395,SHORT,CDX
HG02396,SHORT,CDX
HG02397,SHORT,CDX
HG02398,SHORT,CDX
HG02399,SHORT,CDX
HG02401,SHORT,CDX
HG02402,SHORT,CDX
HG02406,SHORT,CDX
HG02407,SHORT,CDX
HG02408,SHORT,CDX
HG02409,SHORT,CDX
HG02410,SHORT,CDX
HG01595,SHORT,KHV
HG01596,SHORT,KHV
HG01597,SHORT,KHV
HG01598,SHORT,KHV
HG01599,SHORT,KHV
HG01600,SHORT,KHV
HG01840,SHORT,KHV
HG01841,SHORT,KHV
HG01842,SHORT,KHV
HG01843,SHORT,KHV
HG01844,SHORT,KHV
HG01845,SHORT,KHV
HG01846,SHORT,KHV
HG01847,SHORT,KHV
HG01848,SHORT,KHV
HG01849,SHORT,KHV
HG01850,SHORT,KHV
HG01851,SHORT,KHV
HG01852,SHORT,KHV
HG01853,SHORT,KHV
HG01855,SHORT,KHV
HG01857,SHORT,KHV
HG01858,SHORT,KHV
HG01859,SHORT,KHV
HG01860,SHORT,KHV
HG01861,SHORT,KHV
HG01862,SHORT,KHV
HG01863,SHORT,KHV
HG01864,SHORT,KHV
HG01865,SHORT,KHV
HG01866,SHORT,KHV
HG01867,SHORT,KHV
HG01868,SHORT,KHV
HG01869,SHORT,KHV
HG01870,SHORT,KHV
HG01871,SHORT,KHV
HG01872,SHORT,KHV
HG01873,SHORT,KHV
HG01874,SHORT,KHV
HG01878,SHORT,KHV
HG02015,SHORT,KHV
HG02016,SHORT,KHV
HG02017,SHORT,KHV
HG02018,SHORT,KHV
HG02019,SHORT,KHV
HG02020,SHORT,KHV
HG02023,SHORT,KHV
HG02024,SHORT,KHV
HG02025,SHORT,KHV
HG02026,SHORT,KHV
HG02027,SHORT,KHV
HG02028,SHORT,KHV
HG02029,SHORT,KHV
HG02030,SHORT,KHV
HG02031,SHORT,KHV
HG02032,SHORT,KHV
HG02035,SHORT,KHV
HG02040,SHORT,KHV
HG02047,SHORT,KHV
HG02048,SHORT,KHV
HG02049,SHORT,KHV
HG02050,SHORT,KHV
HG02056,SHORT,KHV
HG02057,SHORT,KHV
HG02058,SHORT,KHV
HG02059,SHORT,KHV
HG02060,SHORT,KHV
HG02061,SHORT,KHV
HG02064,SHORT,KHV
HG02067,SHORT,KHV
HG02068,SHORT,KHV
HG02069,SHORT,KHV
HG02070,SHORT,KHV
HG02071,SHORT,KHV
HG02072,SHORT,KHV
HG02073,SHORT,KHV
HG02074,SHORT,KHV
HG02075,SHORT,KHV
HG02076,SHORT,KHV
HG02077,SHORT,KHV
HG02078,SHORT,KHV
HG02079,SHORT,KHV
HG02080,SHORT,KHV
HG02081,SHORT,KHV
HG02082,SHORT,KHV
HG02083,SHORT,KHV
HG02084,SHORT,KHV
HG02085,SHORT,KHV
HG02086,SHORT,KHV
HG02087,SHORT,KHV
HG02088,SHORT,KHV
HG02113,SHORT,KHV
HG02116,SHORT,KHV
HG02120,SHORT,KHV
HG02121,SHORT,KHV
HG02122,SHORT,KHV
HG02126,SHORT,KHV
HG02127,SHORT,KHV
HG02128,SHORT,KHV
HG02129,SHORT,KHV
HG02130,SHORT,KHV
HG02131,SHORT,KHV
HG02132,SHORT,KHV
HG02133,SHORT,KHV
HG02134,SHORT,KHV
HG02135,SHORT,KHV
HG02136,SHORT,KHV
HG02137,SHORT,KHV
HG02138,SHORT,KHV
HG02139,SHORT,KHV
HG02140,SHORT,KHV
HG02141,SHORT,KHV
HG02142,SHORT,KHV
HG02512,SHORT,KHV
HG02513,SHORT,KHV
HG02514,SHORT,KHV
HG02521,SHORT,KHV
HG02522,SHORT,KHV
HG02523,SHORT,KHV
HG02524,SHORT,KHV
HG02525,SHORT,KHV
HG02526,SHORT,KHV
