sample_name,library,population
HG02231,SHORT,IBS
HG02232,SHORT,IBS
HG02233,SHORT,IBS
HG02234,SHORT,IBS
HG02235,SHORT,IBS
HG02236,SHORT,IBS
HG02237,SHORT,IBS
HG02238,SHORT,IBS
HG02239,SHORT,IBS
HG02240,SHORT,IBS
NA20502,SHORT,TSI
NA20503,SHORT,TSI
NA20504,SHORT,TSI
NA20505,SHORT,TSI
NA20506,SHORT,TSI
NA20507,SHORT,TSI
NA20508,SHORT,TSI
NA20509,SHORT,TSI
NA20510,SHORT,TSI
NA20511,SHORT,TSI
NA20512,SHORT,TSI
NA20513,SHORT,TSI
NA20514,SHORT,TSI
NA20515,SHORT,TSI
NA20516,SHORT,TSI
NA20517,SHORT,TSI
NA20518,SHORT,TSI
NA20519,SHORT,TSI
NA20520,SHORT,TSI
NA20521,SHORT,TSI
NA20522,SHORT,TSI
NA20524,SHORT,TSI
NA20525,SHORT,TSI
NA20527,SHORT,TSI
NA20528,SHORT,TSI
NA20529,SHORT,TSI
NA20530,SHORT,TSI
NA20531,SHORT,TSI
NA20532,SHORT,TSI
NA20533,SHORT,TSI
NA20534,SHORT,TSI
NA20535,SHORT,TSI
NA20536,SHORT,TSI
NA20538,SHORT,TSI
NA20539,SHORT,TSI
NA20540,SHORT,TSI
NA20541,SHORT,TSI
NA20542,SHORT,TSI
NA20543,SHORT,TSI
NA20544,SHORT,TSI
NA20581,SHORT,TSI
NA20582,SHORT,TSI
NA20585,SHORT,TSI
NA20586,SHORT,TSI
NA20587,SHORT,TSI
NA20588,SHORT,TSI
NA20589,SHORT,TSI
NA20752,SHORT,TSI
NA20753,SHORT,TSI
NA20754,SHORT,TSI
NA20755,SHORT,TSI
NA20756,SHORT,TSI
NA20757,SHORT,TSI
NA20758,SHORT,TSI
NA20759,SHORT,TSI
NA20760,SHORT,TSI
NA20761,SHORT,TSI
NA20762,SHORT,TSI
NA20763,SHORT,TSI
NA20764,SHORT,TSI
NA20765,SHORT,TSI
NA20766,SHORT,TSI
NA20767,SHORT,TSI
NA20768,SHORT,TSI
NA20769,SHORT,TSI
NA20770,SHORT,TSI
NA20771,SHORT,TSI
NA20772,SHORT,TSI
NA20773,SHORT,TSI
NA20774,SHORT,TSI
NA20775,SHORT,TSI
NA20778,SHORT,TSI
NA20783,SHORT,TSI
NA20785,SHORT,TSI
NA20786,SHORT,TSI
NA20787,SHORT,TSI
NA20790,SHORT,TSI
NA20792,SHORT,TSI
NA20795,SHORT,TSI
NA20796,SHORT,TSI
NA20797,SHORT,TSI
NA20798,SHORT,TSI
NA20799,SHORT,TSI
NA20800,SHORT,TSI
NA20801,SHORT,TSI
NA20802,SHORT,TSI
NA20803,SHORT,TSI
NA20804,SHORT,TSI
NA20805,SHORT,TSI
NA20806,SHORT,TSI
NA20807,SHORT,TSI
NA20808,SHORT,TSI
NA20809,SHORT,TSI
NA20810,SHORT,TSI
NA20811,SHORT,TSI
NA20812,SHORT,TSI
NA20813,SHORT,TSI
NA20814,SHORT,TSI
NA20815,SHORT,TSI
NA20818,SHORT,TSI
NA20819,SHORT,TSI
NA20821,SHORT,TSI
NA20822,SHORT,TSI
NA20826,SHORT,TSI
NA20827,SHORT,TSI
NA20828,SHORT,TSI
NA20832,SHORT,TSI
