sample_name,library,population
HG00096,SHORT,GBR
HG00097,SHORT,GBR
HG00099,SHORT,GBR
HG00100,SHORT,GBR
HG00101,SHORT,GBR
HG00102,SHORT,GBR
HG00103,SHORT,GBR
HG00105,SHORT,GBR
HG00106,SHORT,GBR
HG00107,SHORT,GBR
HG00108,SHORT,GBR
HG00109,SHORT,GBR
HG00110,SHORT,GBR
HG00111,SHORT,GBR
HG00112,SHORT,GBR
HG00113,SHORT,GBR
HG00114,SHORT,GBR
HG00115,SHORT,GBR
HG00116,SHORT,GBR
HG00117,SHORT,GBR
HG00118,SHORT,GBR
HG00119,SHORT,GBR
HG00120,SHORT,GBR
HG00121,SHORT,GBR
HG00122,SHORT,GBR
HG00123,SHORT,GBR
HG00125,SHORT,GBR
HG00126,SHORT,GBR
HG00127,SHORT,GBR
HG00128,SHORT,GBR
HG00129,SHORT,GBR
HG00130,SHORT,GBR
HG00131,SHORT,GBR
HG00132,SHORT,GBR
HG00133,SHORT,GBR
HG00136,SHORT,GBR
HG00137,SHORT,GBR
HG00138,SHORT,GBR
HG00139,SHORT,GBR
HG00140,SHORT,GBR
HG00141,SHORT,GBR
HG00142,SHORT,GBR
HG00143,SHORT,GBR
HG00145,SHORT,GBR
HG00146,SHORT,GBR
HG00148,SHORT,GBR
HG00149,SHORT,GBR
HG00150,SHORT,GBR
HG00151,SHORT,GBR
HG00154,SHORT,GBR
HG00155,SHORT,GBR
HG00157,SHORT,GBR
HG00158,SHORT,GBR
HG00159,SHORT,GBR
HG00160,SHORT,GBR
HG00231,SHORT,GBR
HG00232,SHORT,GBR
HG00233,SHORT,GBR
HG00234,SHORT,GBR
HG00235,SHORT,GBR
HG00236,SHORT,GBR
HG00237,SHORT,GBR
HG00238,SHORT,GBR
HG00239,SHORT,GBR
HG00240,SHORT,GBR
HG00242,SHORT,GBR
HG00243,SHORT,GBR
HG00244,SHORT,GBR
HG00245,SHORT,GBR
HG00246,SHORT,GBR
HG00250,SHORT,GBR
HG00251,SHORT,GBR
HG00252,SHORT,GBR
HG00253,SHORT,GBR
HG00254,SHORT,GBR
HG00255,SHORT,GBR
HG00256,SHORT,GBR
HG00257,SHORT,GBR
HG00258,SHORT,GBR
HG00259,SHORT,GBR
HG00260,SHORT,GBR
HG00261,SHORT,GBR
HG00262,SHORT,GBR
HG00263,SHORT,GBR
HG00264,SHORT,GBR
HG00265,SHORT,GBR
HG01334,SHORT,GBR
HG01789,SHORT,GBR
HG01790,SHORT,GBR
HG01791,SHORT,GBR
HG02215,SHORT,GBR
HG01500,SHORT,IBS
HG01501,SHORT,IBS
HG01502,SHORT,IBS
HG01503,SHORT,IBS
HG01504,SHORT,IBS
HG01505,SHORT,IBS
HG01506,SHORT,IBS
HG01507,SHORT,IBS
HG01508,SHORT,IBS
HG01509,SHORT,IBS
HG01510,SHORT,IBS
HG01511,SHORT,IBS
HG01512,SHORT,IBS
HG01513,SHORT,IBS
HG01514,SHORT,IBS
HG01515,SHORT,IBS
HG01516,SHORT,IBS
HG01517,SHORT,IBS
HG01518,SHORT,IBS
HG01519,SHORT,IBS
HG01520,SHORT,IBS
HG01521,SHORT,IBS
HG01522,SHORT,IBS
HG01523,SHORT,IBS
HG01524,SHORT,IBS
HG01525,SHORT,IBS
HG01526,SHORT,IBS
HG01527,SHORT,IBS
HG01528,SHORT,IBS
HG01529,SHORT,IBS
HG01530,SHORT,IBS
HG01531,SHORT,IBS
HG01532,SHORT,IBS
HG01536,SHORT,IBS
HG01537,SHORT,IBS
HG01538,SHORT,IBS
HG01601,SHORT,IBS
HG01602,SHORT,IBS
HG01603,SHORT,IBS
HG01604,SHORT,IBS
HG01605,SHORT,IBS
HG01606,SHORT,IBS
HG01607,SHORT,IBS
HG01608,SHORT,IBS
HG01609,SHORT,IBS
HG01610,SHORT,IBS
HG01611,SHORT,IBS
HG01612,SHORT,IBS
HG01613,SHORT,IBS
HG01614,SHORT,IBS
HG01615,SHORT,IBS
HG01616,SHORT,IBS
HG01617,SHORT,IBS
HG01618,SHORT,IBS
HG01619,SHORT,IBS
HG01620,SHORT,IBS
HG01621,SHORT,IBS
HG01622,SHORT,IBS
HG01623,SHORT,IBS
HG01624,SHORT,IBS
HG01625,SHORT,IBS
HG01626,SHORT,IBS
HG01627,SHORT,IBS
HG01628,SHORT,IBS
HG01629,SHORT,IBS
HG01630,SHORT,IBS
HG01631,SHORT,IBS
HG01632,SHORT,IBS
HG01633,SHORT,IBS
HG01667,SHORT,IBS
HG01668,SHORT,IBS
HG01669,SHORT,IBS
HG01670,SHORT,IBS
HG01671,SHORT,IBS
HG01672,SHORT,IBS
HG01673,SHORT,IBS
HG01674,SHORT,IBS
HG01675,SHORT,IBS
HG01676,SHORT,IBS
HG01677,SHORT,IBS
HG01678,SHORT,IBS
HG01679,SHORT,IBS
HG01680,SHORT,IBS
HG01681,SHORT,IBS
HG01682,SHORT,IBS
HG01683,SHORT,IBS
HG01684,SHORT,IBS
HG01685,SHORT,IBS
HG01686,SHORT,IBS
HG01687,SHORT,IBS
HG01694,SHORT,IBS
HG01695,SHORT,IBS
HG01696,SHORT,IBS
HG01697,SHORT,IBS
HG01698,SHORT,IBS
HG01699,SHORT,IBS
HG01700,SHORT,IBS
HG01701,SHORT,IBS
HG01702,SHORT,IBS
HG01703,SHORT,IBS
HG01704,SHORT,IBS
HG01705,SHORT,IBS
HG01706,SHORT,IBS
HG01707,SHORT,IBS
HG01708,SHORT,IBS
HG01709,SHORT,IBS
HG01710,SHORT,IBS
HG01711,SHORT,IBS
HG01746,SHORT,IBS
HG01747,SHORT,IBS
HG01748,SHORT,IBS
HG01755,SHORT,IBS
HG01756,SHORT,IBS
HG01757,SHORT,IBS
HG01761,SHORT,IBS
HG01762,SHORT,IBS
HG01763,SHORT,IBS
HG01765,SHORT,IBS
HG01766,SHORT,IBS
HG01767,SHORT,IBS
HG01768,SHORT,IBS
HG01770,SHORT,IBS
HG01771,SHORT,IBS
HG01772,SHORT,IBS
HG01773,SHORT,IBS
HG01774,SHORT,IBS
HG01775,SHORT,IBS
HG01776,SHORT,IBS
HG01777,SHORT,IBS
HG01778,SHORT,IBS
HG01779,SHORT,IBS
HG01780,SHORT,IBS
HG01781,SHORT,IBS
HG01782,SHORT,IBS
HG01783,SHORT,IBS
HG01784,SHORT,IBS
HG01785,SHORT,IBS
HG01786,SHORT,IBS
HG02219,SHORT,IBS
HG02220,SHORT,IBS
HG02221,SHORT,IBS
HG02222,SHORT,IBS
HG02223,SHORT,IBS
HG02224,SHORT,IBS
HG02225,SHORT,IBS
HG02229,SHORT,IBS
HG02230,SHORT,IBS
