sample_name,cluster
HG02966,Africa.2
HG02968,Africa.2
HG02970,Africa.2
HG02971,Africa.2
HG02972,Africa.2
HG02973,Africa.2
HG02974,Africa.2
HG02975,Africa.2
HG02976,Africa.2
HG02977,Africa.2
HG02978,Africa.2
HG02979,Africa.2
HG02980,Africa.2
HG02981,Africa.2
HG03099,Africa.2
HG03100,Africa.2
HG03101,Africa.2
HG03103,Africa.2
HG03105,Africa.2
HG03108,Africa.2
HG03109,Africa.2
HG03110,Africa.2
HG03111,Africa.2
HG03112,Africa.2
HG03113,Africa.2
HG03114,Africa.2
HG03115,Africa.2
HG03116,Africa.2
HG03117,Africa.2
HG03118,Africa.2
HG03119,Africa.2
HG03120,Africa.2
HG03121,Africa.2
HG03122,Africa.2
HG03123,Africa.2
HG03124,Africa.2
HG03125,Africa.2
HG03126,Africa.2
HG03127,Africa.2
HG03128,Africa.2
HG03129,Africa.2
HG03130,Africa.2
HG03131,Africa.2
HG03132,Africa.2
HG03133,Africa.2
HG03134,Africa.2
HG03135,Africa.2
HG03136,Africa.2
HG03137,Africa.2
HG03139,Africa.2
HG03157,Africa.2
HG03159,Africa.2
HG03160,Africa.2
HG03161,Africa.2
HG03162,Africa.2
HG03163,Africa.2
HG03164,Africa.2
HG03166,Africa.2
HG03168,Africa.2
HG03169,Africa.2
HG03170,Africa.2
HG03172,Africa.2
HG03175,Africa.2
HG03189,Africa.2
HG03190,Africa.2
HG03191,Africa.2
HG03193,Africa.2
HG03195,Africa.2
HG03196,Africa.2
HG03197,Africa.2
HG03198,Africa.2
HG03199,Africa.2
HG03200,Africa.2
HG03202,Africa.2
HG03265,Africa.2
HG03267,Africa.2
HG03268,Africa.2
HG03269,Africa.2
HG03270,Africa.2
HG03271,Africa.2
HG03272,Africa.2
HG03279,Africa.2
HG03280,Africa.2
HG03291,Africa.2
HG03294,Africa.2
HG03295,Africa.2
HG03296,Africa.2
HG03297,Africa.2
HG03298,Africa.2
HG03299,Africa.2
HG03300,Africa.2
HG03301,Africa.2
HG03302,Africa.2
HG03303,Africa.2
HG03304,Africa.2
HG03305,Africa.2
HG03306,Africa.2
HG03307,Africa.2
HG03308,Africa.2
HG03309,Africa.2
HG03310,Africa.2
HG03311,Africa.2
HG03312,Africa.2
HG03313,Africa.2
HG03314,Africa.2
HG03342,Africa.2
HG03343,Africa.2
HG03344,Africa.2
HG03350,Africa.2
HG03351,Africa.2
HG03352,Africa.2
HG03354,Africa.2
HG03363,Africa.2
HG03366,Africa.2
HG03367,Africa.2
HG03368,Africa.2
HG03369,Africa.2
HG03370,Africa.2
HG03371,Africa.2
HG03372,Africa.2
HG03373,Africa.2
HG03374,Africa.2
HG03499,Africa.2
HG03511,Africa.2
HG03514,Africa.2
HG03515,Africa.2
HG03516,Africa.2
HG03517,Africa.2
HG03518,Africa.2
HG03519,Africa.2
HG03520,Africa.2
HG03521,Africa.2
HG03522,Africa.2
NA18484,Africa.2
NA18485,Africa.2
NA18486,Africa.2
NA18487,Africa.2
