sample_name,library,population
HG03930,SHORT,BEB
HG03805,SHORT,BEB
HG03942,SHORT,BEB
HG03646,SHORT,STU
HG04039,SHORT,STU
HG03672,SHORT,STU
HG04060,SHORT,ITU
HG03684,SHORT,STU
HG03947,SHORT,STU
HG03689,SHORT,STU
HG03973,SHORT,ITU
HG03691,SHORT,STU
HG03978,SHORT,ITU
HG03696,SHORT,STU
HG03985,SHORT,STU
HG04096,SHORT,ITU
HG03848,SHORT,STU
HG03850,SHORT,STU
HG03862,SHORT,ITU
HG03867,SHORT,ITU
HG04036,SHORT,STU
HG04062,SHORT,ITU
HG04093,SHORT,ITU
HG04098,SHORT,ITU
HG04106,SHORT,STU
HG04118,SHORT,ITU
HG04132,SHORT,BEB
HG04175,SHORT,BEB
HG04182,SHORT,BEB
HG04187,SHORT,BEB
HG04194,SHORT,BEB
HG04199,SHORT,STU
HG03925,SHORT,BEB
HG03937,SHORT,BEB
HG03944,SHORT,STU
HG03949,SHORT,STU
HG03999,SHORT,STU
HG04017,SHORT,ITU
HG04029,SHORT,STU
HG03874,SHORT,ITU
HG03886,SHORT,STU
HG03898,SHORT,STU
HG04144,SHORT,BEB
HG04149,SHORT,BEB
HG04151,SHORT,BEB
HG04156,SHORT,BEB
HG03906,SHORT,BEB
HG03913,SHORT,BEB
HG03920,SHORT,BEB
HG03951,SHORT,STU
HG03963,SHORT,ITU
HG03968,SHORT,ITU
HG04229,SHORT,STU
HG04202,SHORT,ITU
HG04214,SHORT,ITU
HG04219,SHORT,ITU
HG04238,SHORT,ITU
HG03607,SHORT,BEB
HG03594,SHORT,BEB
HG03683,SHORT,STU
HG03688,SHORT,STU
HG03690,SHORT,STU
HG03695,SHORT,STU
HG03645,SHORT,STU
HG03722,SHORT,ITU
HG03727,SHORT,ITU
HG03741,SHORT,STU
HG03746,SHORT,STU
HG03753,SHORT,STU
HG03760,SHORT,STU
HG03772,SHORT,ITU
HG03777,SHORT,ITU
HG03809,SHORT,BEB
HG03816,SHORT,BEB
HG03823,SHORT,BEB
HG03830,SHORT,BEB
HG03784,SHORT,ITU
HG03789,SHORT,ITU
HG03796,SHORT,BEB
HG03804,SHORT,BEB
HG03950,SHORT,STU
HG03955,SHORT,STU
HG03967,SHORT,ITU
HG03974,SHORT,ITU
HG03854,SHORT,STU
HG03861,SHORT,ITU
HG03929,SHORT,BEB
HG03931,SHORT,BEB
HG03943,SHORT,STU
HG03897,SHORT,STU
HG03900,SHORT,STU
HG03905,SHORT,BEB
HG03917,SHORT,BEB
HG04035,SHORT,STU
HG04042,SHORT,STU
HG04047,SHORT,STU
HG04054,SHORT,ITU
HG04059,SHORT,ITU
HG04061,SHORT,ITU
HG04080,SHORT,ITU
HG04100,SHORT,STU
HG04131,SHORT,BEB
HG04136,SHORT,BEB
HG04148,SHORT,BEB
HG04150,SHORT,BEB
HG04155,SHORT,BEB
HG03866,SHORT,ITU
HG03873,SHORT,ITU
HG03885,SHORT,STU
HG03986,SHORT,STU
HG03998,SHORT,STU
HG04023,SHORT,ITU
HG04162,SHORT,BEB
HG04174,SHORT,BEB
HG04186,SHORT,BEB
HG04193,SHORT,BEB
HG04198,SHORT,ITU
HG04206,SHORT,ITU
HG04225,SHORT,ITU
