sample_name,library,Breed
HG03738,short,HUMAN
HG03745,short,HUMAN
HG03760,short,HUMAN
HG03851,short,HUMAN
HG03895,short,HUMAN
HG03949,short,HUMAN
HG03836,short,HUMAN
HG03890,short,HUMAN
HG04035,short,HUMAN
HG03679,short,HUMAN
HG03885,short,HUMAN
HG03741,short,HUMAN
HG03754,short,HUMAN
HG03849,short,HUMAN
HG03858,short,HUMAN
HG03642,short,HUMAN
HG03854,short,HUMAN
HG04227,short,HUMAN
HG03955,short,HUMAN
HG03998,short,HUMAN
HG03886,short,HUMAN
HG03884,short,HUMAN
HG03757,short,HUMAN
HG03756,short,HUMAN
HG03887,short,HUMAN
HG04100,short,HUMAN
HG03945,short,HUMAN
HG03990,short,HUMAN
HG04003,short,HUMAN
HG03645,short,HUMAN
HG03681,short,HUMAN
HG03690,short,HUMAN
HG03694,short,HUMAN
HG03711,short,HUMAN
HG03755,short,HUMAN
HG03685,short,HUMAN
HG03691,short,HUMAN
HG03695,short,HUMAN
HG03733,short,HUMAN
