sample_name,library,Breed
HG02271,short,HUMAN
HG02298,short,HUMAN
HG01893,short,HUMAN
HG01923,short,HUMAN
HG01933,short,HUMAN
HG01944,short,HUMAN
HG01953,short,HUMAN
HG01973,short,HUMAN
HG01991,short,HUMAN
HG02008,short,HUMAN
HG02089,short,HUMAN
HG02104,short,HUMAN
HG01572,short,HUMAN
HG01920,short,HUMAN
HG01924,short,HUMAN
HG01935,short,HUMAN
HG01945,short,HUMAN
HG01954,short,HUMAN
HG01977,short,HUMAN
HG01992,short,HUMAN
HG01997,short,HUMAN
HG02105,short,HUMAN
HG02102,short,HUMAN
HG02266,short,HUMAN
HG02345,short,HUMAN
HG02425,short,HUMAN
HG02150,short,HUMAN
HG02252,short,HUMAN
HG02274,short,HUMAN
HG01183,short,HUMAN
HG01197,short,HUMAN
HG01204,short,HUMAN
HG01248,short,HUMAN
HG01303,short,HUMAN
HG01326,short,HUMAN
HG00637,short,HUMAN
HG01414,short,HUMAN
HG01064,short,HUMAN
HG01092,short,HUMAN
HG01286,short,HUMAN
HG01173,short,HUMAN
HG01176,short,HUMAN
HG01188,short,HUMAN
HG01241,short,HUMAN
HG00740,short,HUMAN
HG01067,short,HUMAN
HG01060,short,HUMAN
HG01073,short,HUMAN
HG01082,short,HUMAN
HG01095,short,HUMAN
HG01171,short,HUMAN
HG01187,short,HUMAN
HG01198,short,HUMAN
HG01205,short,HUMAN
HG01104,short,HUMAN
HG01170,short,HUMAN
HG00553,short,HUMAN
HG01088,short,HUMAN
HG01312,short,HUMAN
HG00640,short,HUMAN
HG01395,short,HUMAN
HG01402,short,HUMAN
HG00743,short,HUMAN
HG01162,short,HUMAN
HG01308,short,HUMAN
HG00736,short,HUMAN
HG01048,short,HUMAN
HG01054,short,HUMAN
HG01080,short,HUMAN
HG01311,short,HUMAN
HG01392,short,HUMAN
HG00638,short,HUMAN
HG00641,short,HUMAN
HG00551,short,HUMAN
HG01069,short,HUMAN
HG01085,short,HUMAN
HG01393,short,HUMAN
HG01396,short,HUMAN
HG00742,short,HUMAN
HG01161,short,HUMAN
HG01305,short,HUMAN
HG01107,short,HUMAN
HG01111,short,HUMAN
HG01047,short,HUMAN
HG01079,short,HUMAN
HG00734,short,HUMAN
HG01061,short,HUMAN
HG01083,short,HUMAN
HG01101,short,HUMAN
HG01105,short,HUMAN
HG01174,short,HUMAN
HG01177,short,HUMAN
HG01190,short,HUMAN
HG01242,short,HUMAN
HG01182,short,HUMAN
HG01191,short,HUMAN
HG01247,short,HUMAN
HG00554,short,HUMAN
HG01089,short,HUMAN
HG01323,short,HUMAN
HG01403,short,HUMAN
HG01058,short,HUMAN
HG01164,short,HUMAN
HG01398,short,HUMAN
HG01405,short,HUMAN
HG00737,short,HUMAN
HG01049,short,HUMAN
HG01055,short,HUMAN
HG01097,short,HUMAN
HG01302,short,HUMAN
HG01325,short,HUMAN
HG01051,short,HUMAN
HG01070,short,HUMAN
HG01086,short,HUMAN
HG01413,short,HUMAN
HG01063,short,HUMAN
HG01077,short,HUMAN
HG01200,short,HUMAN
HG01108,short,HUMAN
HG01167,short,HUMAN
HG01412,short,HUMAN
HG00739,short,HUMAN
HG01066,short,HUMAN
HG01098,short,HUMAN
HG01052,short,HUMAN
HG01072,short,HUMAN
HG01075,short,HUMAN
HG01094,short,HUMAN
HG01102,short,HUMAN
HG01110,short,HUMAN
HG01168,short,HUMAN
HG00731,short,HUMAN
HG00732,short,HUMAN
