sample_name,library,Breed
HG03446,short,HUMAN
HG03072,short,HUMAN
HG03088,short,HUMAN
HG03449,short,HUMAN
HG03556,short,HUMAN
HG03563,short,HUMAN
HG03060,short,HUMAN
HG03064,short,HUMAN
HG03079,short,HUMAN
HG03224,short,HUMAN
HG03558,short,HUMAN
HG03084,short,HUMAN
HG03452,short,HUMAN
HG03470,short,HUMAN
HG03078,short,HUMAN
HG03451,short,HUMAN
HG03209,short,HUMAN
HG03385,short,HUMAN
HG03439,short,HUMAN
HG03461,short,HUMAN
HG03410,short,HUMAN
HG03476,short,HUMAN
HG03391,short,HUMAN
HG03571,short,HUMAN
HG03575,short,HUMAN
HG03583,short,HUMAN
HG03074,short,HUMAN
HG03086,short,HUMAN
HG03378,short,HUMAN
HG03212,short,HUMAN
HG03388,short,HUMAN
HG03442,short,HUMAN
HG03478,short,HUMAN
HG03066,short,HUMAN
HG03436,short,HUMAN
HG03484,short,HUMAN
HG03547,short,HUMAN
HG03455,short,HUMAN
HG03577,short,HUMAN
HG03077,short,HUMAN
HG03091,short,HUMAN
HG03382,short,HUMAN
HG03432,short,HUMAN
HG03052,short,HUMAN
HG03085,short,HUMAN
HG03464,short,HUMAN
HG03473,short,HUMAN
HG03057,short,HUMAN
HG03096,short,HUMAN
HG03097,short,HUMAN
HG03469,short,HUMAN
HG03081,short,HUMAN
NA18917,short,HUMAN
NA19092,short,HUMAN
NA19117,short,HUMAN
NA19121,short,HUMAN
NA19184,short,HUMAN
NA19223,short,HUMAN
NA18878,short,HUMAN
NA18499,short,HUMAN
NA18510,short,HUMAN
NA18522,short,HUMAN
NA18853,short,HUMAN
NA18858,short,HUMAN
NA18909,short,HUMAN
NA19116,short,HUMAN
NA19138,short,HUMAN
NA19159,short,HUMAN
NA19171,short,HUMAN
NA19204,short,HUMAN
NA18867,short,HUMAN
NA18924,short,HUMAN
NA19096,short,HUMAN
NA19146,short,HUMAN
NA19189,short,HUMAN
NA19198,short,HUMAN
NA19236,short,HUMAN
NA19248,short,HUMAN
NA18865,short,HUMAN
NA18881,short,HUMAN
NA18486,short,HUMAN
NA18502,short,HUMAN
NA18505,short,HUMAN
NA18516,short,HUMAN
NA18923,short,HUMAN
NA18517,short,HUMAN
NA18870,short,HUMAN
NA18916,short,HUMAN
NA19095,short,HUMAN
NA19130,short,HUMAN
NA19185,short,HUMAN
NA19098,short,HUMAN
NA19235,short,HUMAN
NA19102,short,HUMAN
NA19247,short,HUMAN
NA19129,short,HUMAN
NA19147,short,HUMAN
NA19190,short,HUMAN
NA19207,short,HUMAN
NA19210,short,HUMAN
NA18879,short,HUMAN
NA18501,short,HUMAN
NA18504,short,HUMAN
NA18511,short,HUMAN
NA18523,short,HUMAN
NA18861,short,HUMAN
NA18912,short,HUMAN
NA19093,short,HUMAN
NA19119,short,HUMAN
NA19141,short,HUMAN
NA19144,short,HUMAN
NA19172,short,HUMAN
NA19206,short,HUMAN
NA19257,short,HUMAN
NA18874,short,HUMAN
NA18868,short,HUMAN
NA18908,short,HUMAN
NA18933,short,HUMAN
NA19107,short,HUMAN
NA19149,short,HUMAN
NA19197,short,HUMAN
NA18488,short,HUMAN
NA19213,short,HUMAN
NA19256,short,HUMAN
NA18864,short,HUMAN
NA18876,short,HUMAN
NA18915,short,HUMAN
NA19222,short,HUMAN
NA18489,short,HUMAN
NA18507,short,HUMAN
NA18873,short,HUMAN
NA18910,short,HUMAN
NA18934,short,HUMAN
NA18519,short,HUMAN
NA18871,short,HUMAN
NA19113,short,HUMAN
NA19118,short,HUMAN
NA19175,short,HUMAN
NA19214,short,HUMAN
NA19099,short,HUMAN
NA19108,short,HUMAN
NA19131,short,HUMAN
NA19152,short,HUMAN
NA18877,short,HUMAN
NA19200,short,HUMAN
NA19209,short,HUMAN
NA19225,short,HUMAN
NA18498,short,HUMAN
NA18508,short,HUMAN
NA18520,short,HUMAN
NA18856,short,HUMAN
NA18907,short,HUMAN
NA19114,short,HUMAN
NA19137,short,HUMAN
NA19143,short,HUMAN
NA19153,short,HUMAN
NA19160,short,HUMAN
NA19201,short,HUMAN
NA19238,short,HUMAN
NA19239,short,HUMAN
