sample_name,library,Breed
HG01956,short,HUMAN
HG02009,short,HUMAN
HG01915,short,HUMAN
HG01958,short,HUMAN
HG02255,short,HUMAN
HG01880,short,HUMAN
HG02332,short,HUMAN
HG02308,short,HUMAN
HG02323,short,HUMAN
HG02337,short,HUMAN
HG02343,short,HUMAN
HG02433,short,HUMAN
HG02471,short,HUMAN
HG02496,short,HUMAN
HG02476,short,HUMAN
HG02536,short,HUMAN
HG02545,short,HUMAN
HG02557,short,HUMAN
HG01882,short,HUMAN
HG01886,short,HUMAN
HG02012,short,HUMAN
HG02314,short,HUMAN
HG02282,short,HUMAN
HG02317,short,HUMAN
HG01912,short,HUMAN
HG01896,short,HUMAN
HG02014,short,HUMAN
HG02010,short,HUMAN
HG02051,short,HUMAN
HG02108,short,HUMAN
HG02143,short,HUMAN
HG02309,short,HUMAN
HG02330,short,HUMAN
HG01990,short,HUMAN
HG02256,short,HUMAN
HG02281,short,HUMAN
HG02420,short,HUMAN
HG02445,short,HUMAN
HG02484,short,HUMAN
HG02508,short,HUMAN
HG02013,short,HUMAN
HG02481,short,HUMAN
HG01989,short,HUMAN
HG02107,short,HUMAN
HG02283,short,HUMAN
HG02325,short,HUMAN
HG02334,short,HUMAN
HG02549,short,HUMAN
HG02577,short,HUMAN
HG02419,short,HUMAN
HG02442,short,HUMAN
HG02479,short,HUMAN
HG02497,short,HUMAN
HG02537,short,HUMAN
HG02477,short,HUMAN
HG02546,short,HUMAN
HG02558,short,HUMAN
HG01883,short,HUMAN
HG01890,short,HUMAN
HG02053,short,HUMAN
HG02315,short,HUMAN
HG02318,short,HUMAN
HG01894,short,HUMAN
HG01885,short,HUMAN
HG01985,short,HUMAN
HG01889,short,HUMAN
HG02052,short,HUMAN
HG02111,short,HUMAN
HG02144,short,HUMAN
HG01914,short,HUMAN
HG02284,short,HUMAN
HG01986,short,HUMAN
HG02339,short,HUMAN
HG02054,short,HUMAN
HG02427,short,HUMAN
HG02489,short,HUMAN
HG02450,short,HUMAN
HG02485,short,HUMAN
HG01879,short,HUMAN
HG01988,short,HUMAN
HG02439,short,HUMAN
HG02501,short,HUMAN
HG02095,short,HUMAN
HG02307,short,HUMAN
HG02322,short,HUMAN
HG02554,short,HUMAN
HG02580,short,HUMAN
HG02429,short,HUMAN
HG02449,short,HUMAN
HG02470,short,HUMAN
HG02511,short,HUMAN
HG02455,short,HUMAN
HG02502,short,HUMAN
HG02505,short,HUMAN
HG02541,short,HUMAN
HG02555,short,HUMAN
NA19625,short,HUMAN
NA19707,short,HUMAN
NA19900,short,HUMAN
NA19908,short,HUMAN
NA19920,short,HUMAN
NA19982,short,HUMAN
NA20281,short,HUMAN
NA20299,short,HUMAN
NA20346,short,HUMAN
NA19922,short,HUMAN
NA20412,short,HUMAN
NA19701,short,HUMAN
NA19712,short,HUMAN
NA19713,short,HUMAN
NA19914,short,HUMAN
NA20127,short,HUMAN
NA20287,short,HUMAN
NA20317,short,HUMAN
NA20334,short,HUMAN
NA20356,short,HUMAN
NA19700,short,HUMAN
NA19711,short,HUMAN
NA19909,short,HUMAN
NA19921,short,HUMAN
NA20126,short,HUMAN
NA19923,short,HUMAN
NA20282,short,HUMAN
NA20314,short,HUMAN
NA20348,short,HUMAN
NA19913,short,HUMAN
NA20318,short,HUMAN
NA20362,short,HUMAN
NA20321,short,HUMAN
NA20274,short,HUMAN
NA20320,short,HUMAN
NA19703,short,HUMAN
NA19818,short,HUMAN
NA19834,short,HUMAN
NA19901,short,HUMAN
NA19916,short,HUMAN
NA20276,short,HUMAN
NA20289,short,HUMAN
NA20294,short,HUMAN
NA20332,short,HUMAN
NA20340,short,HUMAN
NA20357,short,HUMAN
NA19704,short,HUMAN
NA19819,short,HUMAN
NA19835,short,HUMAN
NA19904,short,HUMAN
NA19917,short,HUMAN
NA20278,short,HUMAN
NA20291,short,HUMAN
NA20296,short,HUMAN
NA19984,short,HUMAN
NA20339,short,HUMAN
NA20342,short,HUMAN
NA20359,short,HUMAN
NA20298,short,HUMAN
NA20351,short,HUMAN
NA20355,short,HUMAN
HG03514,short,HUMAN
HG03280,short,HUMAN
HG03300,short,HUMAN
HG02971,short,HUMAN
HG02953,short,HUMAN
HG03160,short,HUMAN
HG03168,short,HUMAN
HG03196,short,HUMAN
HG03342,short,HUMAN
HG02968,short,HUMAN
HG03157,short,HUMAN
HG03193,short,HUMAN
HG03297,short,HUMAN
HG03313,short,HUMAN
HG03517,short,HUMAN
HG03520,short,HUMAN
HG03267,short,HUMAN
HG03291,short,HUMAN
HG03295,short,HUMAN
HG03366,short,HUMAN
HG02922,short,HUMAN
HG03100,short,HUMAN
HG03120,short,HUMAN
HG02976,short,HUMAN
HG03117,short,HUMAN
HG03163,short,HUMAN
HG03199,short,HUMAN
HG03369,short,HUMAN
HG02981,short,HUMAN
