Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG00404,SAME123158,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00244,SAME123217,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00409,SAME1840026,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00251,SAME123053,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00423,SAME122810,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00256,SAME123048,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00428,SAME122811,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00263,SAME123581,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00442,SAME124912,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00268,SAME123574,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00447,SAME124953,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00383,SAME123032,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00459,SAME125269,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00403,SAME123160,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00473,SAME123338,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00408,SAME123155,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00410,SAME1839734,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00101,SAME125153,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00422,SAME122809,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00106,SAME123948,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00427,SAME122806,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00113,SAME125342,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00446,SAME123880,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00118,SAME125347,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00453,SAME123113,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00120,SAME122874,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00458,SAME125278,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00125,SAME122869,GBR,GBR;EnglishSGDP,British,British in England and Scotland,West Eurasia,52.486243,-1.890401,#0000FF
HG00465,SAME123498,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00472,SAME123339,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00275,SAME123421,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00282,SAME122833,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00319,SAME124334,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00478,SAME123335,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00321,SAME123796,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00480,SAME124617,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00326,SAME123792,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00500,SAME123363,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG00338,SAME123990,FIN,FIN;FinnishSGDP,Finnish,Finnish in Finland,West Eurasia,60.17,24.93,#0000FF
HG00512,SAME123525,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
