Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
NA11881,SAME123209,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA11893,SAME123044,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12739,SAME123529,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA11918,SAME123135,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12753,SAME124647,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA11920,SAME124901,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12760,SAME124465,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA11932,SAME125097,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12777,SAME125252,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA11994,SAME123967,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18965,SAME123961,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA12005,SAME125143,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18972,SAME123762,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA12043,SAME123214,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18977,SAME123765,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18577,SAME123734,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA18984,SAME125071,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18591,SAME123719,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA18989,SAME125079,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18596,SAME123718,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA18991,SAME124892,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18609,SAME124867,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA19002,SAME124479,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18611,SAME123225,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA19007,SAME124476,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA18616,SAME125032,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA19019,SAME124000,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA18623,SAME124507,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA19026,SAME124849,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA18628,SAME124502,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA06984,SAME124763,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18630,SAME124895,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA06989,SAME124760,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18635,SAME123661,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA06991,SAME124936,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18642,SAME122982,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA07014,SAME125162,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18647,SAME122977,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA07019,SAME125152,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18748,SAME123909,CHB,CHB;HanHGDP;HanSGDP;NorthernHanHGDP,Han Chinese,"Han Chinese in Beijing, China",East Asia,39.916666,116.383333,#008000
NA07045,SAME124187,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18856,SAME124736,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA07348,SAME123567,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12752,SAME123518,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA10839,SAME124551,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12776,SAME124256,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA10846,SAME124758,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12815,SAME123022,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA12827,SAME125077,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19103,SAME124330,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12865,SAME123190,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19108,SAME125378,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12872,SAME123387,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19115,SAME123857,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12877,SAME123391,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19122,SAME125014,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12889,SAME123951,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19127,SAME125017,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12891,SAME124117,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19139,SAME125237,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA18488,SAME124103,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19141,SAME124607,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12144,SAME124156,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19146,SAME125080,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12156,SAME124952,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19153,SAME123019,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12264,SAME123087,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19160,SAME123758,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12283,SAME124639,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19172,SAME124420,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12341,SAME125158,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19177,SAME124417,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12485,SAME125360,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19184,SAME123859,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12707,SAME124080,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19189,SAME123869,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA12740,SAME124822,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19191,SAME124042,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA07051,SAME124378,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19312,SAME123315,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA07056,SAME124375,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19317,SAME123312,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA07347,SAME123572,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19324,SAME123472,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA10838,SAME124550,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19331,SAME123250,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA10840,SAME124756,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19350,SAME122853,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA10845,SAME124759,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19355,SAME124077,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
HG04222,SAME1839040,ITU,ITU,Telugu,Indian Telugu in the UK,South Asia,52.486243,-1.890401,#FFA500
NA19374,SAME125115,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
HG04227,SAME1839056,STU,STU,Tamil,Sri Lankan Tamil in the UK,South Asia,52.486243,-1.890401,#FFA500
NA19379,SAME125092,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
HG04239,SAME1840281,ITU,ITU,Telugu,Indian Telugu in the UK,South Asia,52.486243,-1.890401,#FFA500
NA06995,SAME123994,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA19393,SAME124496,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA07037,SAME122862,CEU,CEU,CEPH,Utah residents (CEPH) with Northern and Western Europe,West Eurasia,40.767,-111.8904,#0000FF
NA18863,SAME124907,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19401,SAME123634,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA18868,SAME124910,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA18870,SAME125101,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19437,SAME123851,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA18875,SAME123545,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA18907,SAME123563,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19449,SAME122946,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA18914,SAME123406,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19451,SAME125415,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19140,SAME124608,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19456,SAME125410,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19145,SAME123372,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19463,SAME123297,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19152,SAME123017,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19468,SAME123299,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19171,SAME124419,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19176,SAME124416,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19475,SAME123121,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19190,SAME124041,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19653,SAME123125,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19658,SAME123132,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19203,SAME122988,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19660,SAME122958,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19208,SAME122993,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19665,SAME122956,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19210,SAME125383,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19215,SAME125385,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19222,SAME124147,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19747,SAME123501,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19239,SAME125081,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19258,SAME125045,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19759,SAME123707,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19309,SAME124984,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19761,SAME123894,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19316,SAME123311,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19773,SAME124067,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19323,SAME123471,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19778,SAME124060,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19328,SAME123463,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19780,SAME123147,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19347,SAME124340,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19785,SAME123150,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19792,SAME123327,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19378,SAME125091,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19836,SAME125031,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19380,SAME124276,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19901,SAME125049,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19385,SAME124271,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19913,SAME124432,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19397,SAME124492,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19918,SAME125275,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19429,SAME124037,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19920,SAME124713,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19431,SAME123853,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19982,SAME124293,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19436,SAME123852,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA20129,SAME122886,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19443,SAME122954,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA20282,SAME124583,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19448,SAME122945,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19677,SAME122789,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19455,SAME125411,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19684,SAME122941,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19462,SAME123296,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19704,SAME124236,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19467,SAME123295,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19711,SAME124446,ASW,ASW,Africa SW,Africa in Southwest US,Africa,35.483,-97.53333,#800080
NA19474,SAME123122,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19716,SAME124450,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19652,SAME124978,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19723,SAME124695,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19657,SAME123129,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19728,SAME124702,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19664,SAME122955,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19730,SAME124869,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19669,SAME123903,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19735,SAME124874,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19671,SAME122794,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19676,SAME122790,MXL,MXL;MixeSGDP;MixtecSGDP,Mexican Ancestry,"Mexican Ancestry in Los Angeles, California",America,34.0544,-118.2439,#FF0000
NA19204,SAME122985,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19020,SAME124855,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19209,SAME122994,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19025,SAME124852,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19211,SAME125382,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19037,SAME124665,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19223,SAME125223,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19235,SAME125002,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19056,SAME125026,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19247,SAME123691,YRI,YRI;YorubaHGDP;YorubaSGDP,Yoruba,"Yoruba in Ibadan, Nigeria",Africa,7.4,3.92,#800080
NA19063,SAME123006,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19068,SAME123012,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19038,SAME124668,LWK,LuhyaSGDP;LWK,Luhya,Luhya in Kenya,Africa,1.3,36.8,#800080
NA19070,SAME122820,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19057,SAME125025,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19075,SAME122816,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
NA19064,SAME123010,JPT,JapaneseHGDP;JapaneseSGDP;JPT,Japanese,Japanese in Japan,East Asia,38.0,138.0,#008000
